province,sector,source,scenario,year,value,unit
all,total,total,reference,2005,10521.0145,Petajoules
AB,total,total,reference,2005,2792.7536,Petajoules
BC,total,total,reference,2005,1248.2454,Petajoules
MB,total,total,reference,2005,291.6187,Petajoules
NB,total,total,reference,2005,257.1329,Petajoules
NL,total,total,reference,2005,164.8921,Petajoules
NS,total,total,reference,2005,203.4443,Petajoules
NT,total,total,reference,2005,18.0027,Petajoules
NU,total,total,reference,2005,3.566,Petajoules
ON,total,total,reference,2005,3076.8644,Petajoules
PE,total,total,reference,2005,25.2844,Petajoules
QC,total,total,reference,2005,1871.2434,Petajoules
SK,total,total,reference,2005,559.898,Petajoules
YT,total,total,reference,2005,8.068,Petajoules
all,total,total,reference,2006,10477.9234,Petajoules
AB,total,total,reference,2006,2941.3503,Petajoules
BC,total,total,reference,2006,1218.561,Petajoules
MB,total,total,reference,2006,278.8887,Petajoules
NB,total,total,reference,2006,257.3801,Petajoules
NL,total,total,reference,2006,167.5671,Petajoules
NS,total,total,reference,2006,198.9287,Petajoules
NT,total,total,reference,2006,18.0061,Petajoules
NU,total,total,reference,2006,4.7813,Petajoules
ON,total,total,reference,2006,2968.1336,Petajoules
PE,total,total,reference,2006,24.1699,Petajoules
QC,total,total,reference,2006,1848.8183,Petajoules
SK,total,total,reference,2006,542.6294,Petajoules
YT,total,total,reference,2006,8.7082,Petajoules
all,total,total,reference,2007,10854.4259,Petajoules
AB,total,total,reference,2007,3110.3262,Petajoules
BC,total,total,reference,2007,1220.6337,Petajoules
MB,total,total,reference,2007,294.8279,Petajoules
NB,total,total,reference,2007,271.7129,Petajoules
NL,total,total,reference,2007,182.4097,Petajoules
NS,total,total,reference,2007,213.7254,Petajoules
NT,total,total,reference,2007,24.1052,Petajoules
NU,total,total,reference,2007,5.3546,Petajoules
ON,total,total,reference,2007,3016.8085,Petajoules
PE,total,total,reference,2007,25.6998,Petajoules
QC,total,total,reference,2007,1903.6527,Petajoules
SK,total,total,reference,2007,576.1471,Petajoules
YT,total,total,reference,2007,9.0215,Petajoules
all,total,total,reference,2008,10614.4724,Petajoules
AB,total,total,reference,2008,2999.2427,Petajoules
BC,total,total,reference,2008,1162.9028,Petajoules
MB,total,total,reference,2008,294.543,Petajoules
NB,total,total,reference,2008,251.8043,Petajoules
NL,total,total,reference,2008,175.0861,Petajoules
NS,total,total,reference,2008,206.8967,Petajoules
NT,total,total,reference,2008,21.2393,Petajoules
NU,total,total,reference,2008,4.917,Petajoules
ON,total,total,reference,2008,3010.6328,Petajoules
PE,total,total,reference,2008,24.7772,Petajoules
QC,total,total,reference,2008,1856.4919,Petajoules
SK,total,total,reference,2008,596.9668,Petajoules
YT,total,total,reference,2008,8.9717,Petajoules
all,total,total,reference,2009,10288.8058,Petajoules
AB,total,total,reference,2009,3036.1867,Petajoules
BC,total,total,reference,2009,1118.1304,Petajoules
MB,total,total,reference,2009,283.8003,Petajoules
NB,total,total,reference,2009,256.7589,Petajoules
NL,total,total,reference,2009,165.3266,Petajoules
NS,total,total,reference,2009,203.7988,Petajoules
NT,total,total,reference,2009,15.1461,Petajoules
NU,total,total,reference,2009,4.7698,Petajoules
ON,total,total,reference,2009,2771.5512,Petajoules
PE,total,total,reference,2009,24.9719,Petajoules
QC,total,total,reference,2009,1800.6534,Petajoules
SK,total,total,reference,2009,599.3118,Petajoules
YT,total,total,reference,2009,8.3999,Petajoules
all,total,total,reference,2010,10542.6157,Petajoules
AB,total,total,reference,2010,3150.9611,Petajoules
BC,total,total,reference,2010,1133.763,Petajoules
MB,total,total,reference,2010,280.7218,Petajoules
NB,total,total,reference,2010,281.073,Petajoules
NL,total,total,reference,2010,166.0717,Petajoules
NS,total,total,reference,2010,207.1135,Petajoules
NT,total,total,reference,2010,16.5844,Petajoules
NU,total,total,reference,2010,5.0361,Petajoules
ON,total,total,reference,2010,2902.8322,Petajoules
PE,total,total,reference,2010,25.5492,Petajoules
QC,total,total,reference,2010,1756.4171,Petajoules
SK,total,total,reference,2010,607.3119,Petajoules
YT,total,total,reference,2010,9.1814,Petajoules
all,total,total,reference,2011,10890.2551,Petajoules
AB,total,total,reference,2011,3310.8447,Petajoules
BC,total,total,reference,2011,1122.8758,Petajoules
MB,total,total,reference,2011,288.5611,Petajoules
NB,total,total,reference,2011,298.8535,Petajoules
NL,total,total,reference,2011,165.7949,Petajoules
NS,total,total,reference,2011,217.116,Petajoules
NT,total,total,reference,2011,18.8849,Petajoules
NU,total,total,reference,2011,5.507,Petajoules
ON,total,total,reference,2011,3003.1577,Petajoules
PE,total,total,reference,2011,28.9761,Petajoules
QC,total,total,reference,2011,1786.4402,Petajoules
SK,total,total,reference,2011,633.6094,Petajoules
YT,total,total,reference,2011,9.6323,Petajoules
all,total,total,reference,2012,11051.041,Petajoules
AB,total,total,reference,2012,3559.2002,Petajoules
BC,total,total,reference,2012,1151.6462,Petajoules
